# Frequency list

# Corpus: decow16b
# Query:  "[Ee]in" "[Bb]i(ß|ss)chen" "zu" [tag="ADJ.*"] 21156

# Frequency limit: 0


Lemma	Frequency	
ein bisschen zu fix	3	
ein bisschen zu emotional	3	
ein bisschen zu einfallslos	3	
ein bisschen zu egozentrisch	3	
ein bisschen zu düster	3	
ein bisschen zu drastisch	3	
ein bisschen zu deutlich	3	
ein bisschen zu derb	3	
ein bisschen zu chaotisch	3	
ein bisschen zu blass	3	
ein bisschen zu aufdringlich	3	
ein bisschen zu anspruchsvoll	3	
ein bisschen zu abrupt	3	
eins bisschen zu tuntig	2	
eins bisschen zu sicher	2	
eins bisschen zu niedrig	2	
eins bisschen zu metaphysisch	2	
eins bisschen zu locker	2	
eins bisschen zu langweilig	2	
eins bisschen zu hell	2	
eins bisschen zu hart	2	
eins bisschen zu harmlos	2	
eins bisschen zu arg	2	
eins bisschen zu (unknown)	2	
einen bisschen zu teuer	2	
einen bisschen zu schnell	2	
einen bisschen zu pauschal	2	
einen bisschen zu leicht	2	
einen bisschen zu heftig	2	
einen bisschen zu hart	2	
eine bisschen zu überzeugt	2	
eine bisschen zu übertrieben	2	
eine bisschen zu überstark	2	
eine bisschen zu überfüllt	2	
eine bisschen zu zottelig	2	
eine bisschen zu zahlreich	2	
eine bisschen zu wortlich	2	
eine bisschen zu wohlhabend	2	
eine bisschen zu wertvoll	2	
eine bisschen zu weiblich	2	
eine bisschen zu wahnsinnig	2	
eine bisschen zu vulgär	2	
eine bisschen zu vordergründig	2	
eine bisschen zu vollmundig	2	
eine bisschen zu volkstümlich	2	
eine bisschen zu vielschichtig	2	
eine bisschen zu verwaschen	2	
eine bisschen zu vertraut	2	
eine bisschen zu versöhnlich	2	
eine bisschen zu vernünftig	2	
eine bisschen zu verliebt	2	
eine bisschen zu vergeblich	2	
eine bisschen zu verführerisch	2	
eine bisschen zu verallgemeinernd	2	
eine bisschen zu vehement	2	
eine bisschen zu unüberlegt	2	
eine bisschen zu unwissenschaftlich	2	
eine bisschen zu unwahrscheinlich	2	
eine bisschen zu unvorsichtig	2	
eine bisschen zu unscheinbar	2	
eine bisschen zu unreflektiert	2	
eine bisschen zu unreallistisch	2	
eine bisschen zu unproportional	2	
eine bisschen zu unpersönlich	2	
eine bisschen zu unkoordiniert	2	
eine bisschen zu unkonzentriert	2	
eine bisschen zu uninteressant	2	
eine bisschen zu ungehalten	2	
eine bisschen zu unflexibel	2	
eine bisschen zu undifferenziert	2	
eine bisschen zu unbekannt	2	
eine bisschen zu unausgereift	2	
